run_id,master,shuffle_partitions,sample_fraction,fit_seconds,eval_seconds,auc_roc
20260228_123348,local[2],16,0.1,55.61073184013367,2.8568670749664307,0.867179191444476
20260228_123348,local[2],32,0.1,66.28133392333984,2.691093921661377,0.8680962623548005
20260228_123348,local[2],64,0.1,99.77539682388306,5.176137924194336,0.8656545038485435
20260228_123348,local[4],16,0.1,32.265220165252686,1.4958338737487793,0.867179191444476
20260228_123348,local[4],32,0.1,48.02178502082825,2.124376058578491,0.8680962623548005
20260228_123348,local[4],64,0.1,76.30272698402405,4.153893232345581,0.8656545038485435
20260228_123348,local[6],16,0.1,30.261518955230713,1.5836231708526611,0.867179191444476
20260228_123348,local[6],32,0.1,47.91634774208069,2.9139487743377686,0.8680962623548005
20260228_123348,local[6],64,0.1,75.43068623542786,4.237056016921997,0.8656545038485435
20260228_123348,local[2],32,0.05,50.988085985183716,2.0793018341064453,0.8686159554949052
20260228_123348,local[4],32,0.1,49.099464893341064,2.1687700748443604,0.8680962623548005
20260228_123348,local[6],32,0.2,67.57347083091736,2.8260819911956787,0.8683489825892721
